title,content,category_id,author_id,is_published,deleted
Welcome to Our Platform,A comprehensive guide to getting started with our platform. Learn about the basic features and how to navigate the interface.,7e9d02c7-495d-48b8-8c74-5aae73e9acd5,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
How to Reset Your Password,Step-by-step guide to resetting your password and securing your account.,0a3aa62e-ff09-417b-ad08-1cab8da516d3,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
Understanding Your Billing Cycle,Learn about billing cycles payment methods and how to manage your subscriptions.,c80b1ea3-4430-4e04-ada4-73ae2b59f507,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
Two-Factor Authentication Setup,Enhance your account security by enabling two-factor authentication.,0a3aa62e-ff09-417b-ad08-1cab8da516d3,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
Common Login Issues,Solutions to frequently encountered login problems and access issues.,794cf2d7-0429-498b-991f-7eede4cd98d4,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
Using the Search Feature,A detailed guide on how to effectively use the platform's search functionality.,608ee611-cce3-42ad-a1e7-ca2302c871fd,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
API Authentication Guide,Learn how to authenticate your API requests and manage API keys.,2812f907-1729-421c-9885-51d00d227b95,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
Best Practices for Data Management,Guidelines for managing and organizing your data effectively.,779bfb5a-ee2c-4730-8b91-caa3d7c57d22,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
Latest Platform Updates,Recent changes improvements and new features added to the platform.,84e77b11-995b-4463-a89b-91e0b8a38ec2,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
Frequently Asked Questions,Answers to the most common questions about our platform and services.,64d0415c-489d-41f9-b7de-00d09ce2e4f0,b4579da1-2a92-4a30-bb0e-d5b5f232a785,TRUE,FALSE
